1_id	1_span	1_anno_ptb::pos	2_id	2_span	2_anno_ptb::cat	3_id	3_span	3_anno_ptb::cat	4_id	4_span	4_anno_ptb::pos	4_anno_ptb::pos	meta_Period	meta_Genre	meta_Dialect	meta_File_name	meta_Text_name	meta_Date	meta_Author	meta_Verse_or_prose	meta_Foreign_original	meta_Relationship_to_spoken_language	meta_Prototypicaltext_category
salt:/ppcme2/cmaelr3.m23#sTok15035	euery	Q	salt:/ppcme2/cmaelr3.m23#structure8714	to euery man 0 þat *T*-1 spake wit þe , as 0 0 *T*-2 þe book seyþ	PP	salt:/ppcme2/cmaelr3.m23#structure8715	euery man 0 þat *T*-1 spake wit þe , as 0 0 *T*-2 þe book seyþ	NP	salt:/ppcme2/cmaelr3.m23#sTok15036	man	N	N	M2/3		SL	CMAELR3			X	PROSE	LATIN	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok314	alle	Q	salt:/ppcme2/cmaelr4.m4#structure191	alle mennes sight	NP	salt:/ppcme2/cmaelr4.m4#structure192	alle mennes	NP	salt:/ppcme2/cmaelr4.m4#sTok315	mennes	NS$	NS$	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok1803	no	Q	salt:/ppcme2/cmaelr4.m4#structure1086	*T*-2 no man may tame	IP	salt:/ppcme2/cmaelr4.m4#structure1087	no man	NP	salt:/ppcme2/cmaelr4.m4#sTok1804	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok1937	alle	Q	salt:/ppcme2/cmaelr4.m4#structure1170	of alle men	PP	salt:/ppcme2/cmaelr4.m4#structure1171	alle men	NP	salt:/ppcme2/cmaelr4.m4#sTok1938	men	NS	NS	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok2007	no	Q	salt:/ppcme2/cmaelr4.m4#structure1211	with no man	PP	salt:/ppcme2/cmaelr4.m4#structure1212	no man	NP	salt:/ppcme2/cmaelr4.m4#sTok2008	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok2239	no	Q	salt:/ppcme2/cmaelr4.m4#structure1348	with no man	PP	salt:/ppcme2/cmaelr4.m4#structure1349	no man	NP	salt:/ppcme2/cmaelr4.m4#sTok2240	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok3457	euery	Q	salt:/ppcme2/cmaelr4.m4#structure2099	but also euery cristen man	CONJP	salt:/ppcme2/cmaelr4.m4#structure2100	euery cristen man	NP	salt:/ppcme2/cmaelr4.m4#sTok3459	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok4039	euery	Q	salt:/ppcme2/cmaelr4.m4#structure2460	In that tyme shuld euery cristen man adde somwhat moor to his fastynge , as in besy keping his hert from veyn thoughtes , his mouthe from veyn speche , moor than in a-nother tyme ;	IP-MAT	salt:/ppcme2/cmaelr4.m4#structure2463	euery cristen man	NP	salt:/ppcme2/cmaelr4.m4#sTok4041	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok5213	eny	Q	salt:/ppcme2/cmaelr4.m4#structure3187	of eny man	PP	salt:/ppcme2/cmaelr4.m4#structure3188	eny man	NP	salt:/ppcme2/cmaelr4.m4#sTok5214	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok7030	Alle	Q	salt:/ppcme2/cmaelr4.m4#structure4301	Alle men ben witty and wyse and discret now-a-days ,	IP-MAT	salt:/ppcme2/cmaelr4.m4#structure4302	Alle men	NP	salt:/ppcme2/cmaelr4.m4#sTok7031	men	NS	NS	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmaelr4.m4#sTok9187	no	Q	salt:/ppcme2/cmaelr4.m4#structure5639	for thou maist hurte no man but with thy tonge .	IP-MAT	salt:/ppcme2/cmaelr4.m4#structure5641	no man	NP	salt:/ppcme2/cmaelr4.m4#sTok9188	man	N	N	M4		EML	CMAELR4			X	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok1238	vh	Q	salt:/ppcme2/cmancriw.m1#structure677	ant forþi mot vh mon neodeliche ham holden	IP	salt:/ppcme2/cmancriw.m1#structure679	vh mon	NP	salt:/ppcme2/cmancriw.m1#sTok1239	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok5197	Alle	Q	salt:/ppcme2/cmancriw.m1#structure2880	Alle menne sares	NP	salt:/ppcme2/cmancriw.m1#structure2881	Alle menne	NP	salt:/ppcme2/cmancriw.m1#sTok5198	menne	NS$	NS$	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok10185	vh	Q	salt:/ppcme2/cmancriw.m1#structure5650	vh mon walde steoke feste vh þurl for hwon 0 *T*-1 heo machten bi steoken deað þrute	IP	salt:/ppcme2/cmancriw.m1#structure5651	vh mon	NP	salt:/ppcme2/cmancriw.m1#sTok10186	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok10365	$moni	Q	salt:/ppcme2/cmancriw.m1#structure5750	$to $moni {TEXT:tomoni} mon	PP	salt:/ppcme2/cmancriw.m1#structure5751	$moni {TEXT:tomoni} mon	NP	salt:/ppcme2/cmancriw.m1#sTok10367	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok10995	nan	Q	salt:/ppcme2/cmancriw.m1#structure6121	wið nan mon	PP	salt:/ppcme2/cmancriw.m1#structure6122	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok10996	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok11187	nan	Q	salt:/ppcme2/cmancriw.m1#structure6239	wið nan mon	PP	salt:/ppcme2/cmancriw.m1#structure6240	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok11188	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok11353	ani	Q	salt:/ppcme2/cmancriw.m1#structure6343	ani god mon is of feorren icomen	IP	salt:/ppcme2/cmancriw.m1#structure6344	ani god mon	NP	salt:/ppcme2/cmancriw.m1#sTok11355	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok11514	nan	Q	salt:/ppcme2/cmancriw.m1#structure6431	to nan mon	PP	salt:/ppcme2/cmancriw.m1#structure6432	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok11515	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok13957	alle	Q	salt:/ppcme2/cmancriw.m1#structure7811	ha *ICH*-1 aȝen tobeon feor from * alle worldliche men	IP	salt:/ppcme2/cmancriw.m1#structure7815	alle worldliche men	NP	salt:/ppcme2/cmancriw.m1#sTok13959	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok15127	nan	Q	salt:/ppcme2/cmancriw.m1#structure8477	$for ne mei nan mon hit werien .	IP-MAT-SPE	salt:/ppcme2/cmancriw.m1#structure8478	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok15128	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok16286	na	Q	salt:/ppcme2/cmancriw.m1#structure9162	*T*-1 na mon *ICH*-2 ne cnaweð 0 ꝥ *T*-3 naueð hit <P_II.75> ismecchet	IP	salt:/ppcme2/cmancriw.m1#structure9163	na mon *ICH*-2	NP	salt:/ppcme2/cmancriw.m1#sTok16287	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok16809	nan	Q	salt:/ppcme2/cmancriw.m1#structure9477	Ne chaste ȝe nan swich mon neauer on oðerwise	IP-IMP	salt:/ppcme2/cmancriw.m1#structure9479	nan swich mon	NP	salt:/ppcme2/cmancriw.m1#sTok16811	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok17136	nan	Q	salt:/ppcme2/cmancriw.m1#structure9671	For þi mine leoue sustren ne ȝeue ȝe nan swic mon nan inȝeong to speokene .	IP-IMP	salt:/ppcme2/cmancriw.m1#structure9676	nan swic mon	NP	salt:/ppcme2/cmancriw.m1#sTok17138	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok17468	na	Q	salt:/ppcme2/cmancriw.m1#structure9840	Ȝef 0 þu wult swich beon ne scheau þu na mon þi wlite .	IP-IMP	salt:/ppcme2/cmancriw.m1#structure9847	na mon	NP	salt:/ppcme2/cmancriw.m1#sTok17469	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok20161	vch	Q	salt:/ppcme2/cmancriw.m1#structure11478	vch monnes flesch	NP	salt:/ppcme2/cmancriw.m1#structure11479	vch monnes	NP	salt:/ppcme2/cmancriw.m1#sTok20162	monnes	N$	N$	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok21579	nan	Q	salt:/ppcme2/cmancriw.m1#structure12299	An oðer half nan mon ne mei wel iuge blod ear 0 hit beo icolet .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure12302	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok21580	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok21958	nan	Q	salt:/ppcme2/cmancriw.m1#structure12518	he ne cnaweð nan mon .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure12520	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok21959	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok33731	nan	Q	salt:/ppcme2/cmancriw.m1#structure19471	*con* nan mon read ne askeð	IP	salt:/ppcme2/cmancriw.m1#structure19472	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok33732	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok39912	nan	Q	salt:/ppcme2/cmancriw.m1#structure23260	Alle sunnen sunderliche . bi hare {TEXT:bihare} nomeliche nomen ne machte nan mon Rikenen .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure23265	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok39913	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok39938	nan	Q	salt:/ppcme2/cmancriw.m1#structure23273	& *exp* nis ich wene nan mon . 0 ꝥ *T*-1 ne mai under stonden him of his sunnen nomeliche under summe of þilke imeane 0 þe *T*-2 beoð her iwritene .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure23276	nan mon . 0 ꝥ *T*-1 ne mai under stonden him of his sunnen nomeliche under summe of þilke imeane 0 þe *T*-2 beoð her iwritene	NP	salt:/ppcme2/cmancriw.m1#sTok39939	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok40839	euch	Q	salt:/ppcme2/cmancriw.m1#structure23790	*T*-1 ablent euch mon 0 ꝥ *T*-2 ham in blaweð . ꝥ is 0 þe *T*-3 boleȝeð him $þurh ham in heorte {TEXT:inheorte} prude	IP	salt:/ppcme2/cmancriw.m1#structure23791	euch mon 0 ꝥ *T*-2 ham in blaweð . ꝥ is 0 þe *T*-3 boleȝeð him $þurh ham in heorte {TEXT:inheorte} prude	NP	salt:/ppcme2/cmancriw.m1#sTok40840	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok42826	na	Q	salt:/ppcme2/cmancriw.m1#structure24925	& na mon nule don ham naut	IP-MAT-SPE	salt:/ppcme2/cmancriw.m1#structure24926	na mon	NP	salt:/ppcme2/cmancriw.m1#sTok42827	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok47548	euch	Q	salt:/ppcme2/cmancriw.m1#structure27757	castel is euch god mon 0 ꝥ *T*-1 þe feont weorreð	IP-MAT	salt:/ppcme2/cmancriw.m1#structure27759	euch god mon 0 ꝥ *T*-1 þe feont weorreð	NP	salt:/ppcme2/cmancriw.m1#sTok47550	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok55597	alle	Q	salt:/ppcme2/cmancriw.m1#structure32406	*con* luuest se inwarliche alle men & wimmen	IP	salt:/ppcme2/cmancriw.m1#structure32409	alle men & wimmen	NP	salt:/ppcme2/cmancriw.m1#sTok55598	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok59986	nan	Q	salt:/ppcme2/cmancriw.m1#structure34955	þe feont ne mei neden nan mon . to na sunne . þach 0 he eggi þer to .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure34957	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok59987	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok61259	alle	Q	salt:/ppcme2/cmancriw.m1#structure35653	ouer alle men	PP	salt:/ppcme2/cmancriw.m1#structure35654	alle men	NP	salt:/ppcme2/cmancriw.m1#sTok61260	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok66140	nan	Q	salt:/ppcme2/cmancriw.m1#structure38553	Þeos twa nan mon ne parti from oðer .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure38555	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok66141	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok67168	nan	Q	salt:/ppcme2/cmancriw.m1#structure39140	nan mon hit nute	IP	salt:/ppcme2/cmancriw.m1#structure39141	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok67169	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok68139	alle	Q	salt:/ppcme2/cmancriw.m1#structure39717	to alle men ilich	PP	salt:/ppcme2/cmancriw.m1#structure39718	alle men ilich	NP	salt:/ppcme2/cmancriw.m1#sTok68140	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok68694	sum	Q	salt:/ppcme2/cmancriw.m1#structure40086	to sum lif hali mon	PP	salt:/ppcme2/cmancriw.m1#structure40087	sum lif hali mon	NP	salt:/ppcme2/cmancriw.m1#sTok68697	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok73325	moni	Q	salt:/ppcme2/cmancriw.m1#structure42768	$ȝet {TEXT:Sȝet} seið moni mon . hwet *T*-1 is god þe betere þach 0 ich pine for his luue	IP-MAT	salt:/ppcme2/cmancriw.m1#structure42770	moni mon	NP	salt:/ppcme2/cmancriw.m1#sTok73326	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok74433	euch	Q	salt:/ppcme2/cmancriw.m1#structure43475	euch mon wið wisdom weie hwat 0 *T*-1 he muȝe don	IP	salt:/ppcme2/cmancriw.m1#structure43476	euch mon	NP	salt:/ppcme2/cmancriw.m1#sTok74434	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok76948	alle	Q	salt:/ppcme2/cmancriw.m1#structure44937	to alle men	PP	salt:/ppcme2/cmancriw.m1#structure44938	alle men	NP	salt:/ppcme2/cmancriw.m1#sTok76949	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok77987	alle	Q	salt:/ppcme2/cmancriw.m1#structure45524	of alle men	PP	salt:/ppcme2/cmancriw.m1#structure45525	alle men	NP	salt:/ppcme2/cmancriw.m1#sTok77988	men	NS	NS	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok82120	sum	Q	salt:/ppcme2/cmancriw.m1#structure47906	*T*-1 þu hauest sum mon sum chere	IP	salt:/ppcme2/cmancriw.m1#structure47908	sum mon	NP	salt:/ppcme2/cmancriw.m1#sTok82121	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok82603	nan	Q	salt:/ppcme2/cmancriw.m1#structure48177	of nan mon	PP	salt:/ppcme2/cmancriw.m1#structure48178	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok82604	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok83310	Na	Q	salt:/ppcme2/cmancriw.m1#structure48596	Na mon bute 0 he habbe neode ne laðe ȝe to drinken .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure48597	Na mon	NP	salt:/ppcme2/cmancriw.m1#sTok83311	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok83540	na	Q	salt:/ppcme2/cmancriw.m1#structure48738	hit na mon ne eili	IP	salt:/ppcme2/cmancriw.m1#structure48740	na mon	NP	salt:/ppcme2/cmancriw.m1#sTok83541	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok83634	nan	Q	salt:/ppcme2/cmancriw.m1#structure48785	nan mon slepen	IP	salt:/ppcme2/cmancriw.m1#structure48786	nan mon	NP	salt:/ppcme2/cmancriw.m1#sTok83635	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok83671	$nan	Q	salt:/ppcme2/cmancriw.m1#structure48812	$nan {TEXT:ꝥnan} mon ne sið ow	IP	salt:/ppcme2/cmancriw.m1#structure48813	$nan {TEXT:ꝥnan} mon	NP	salt:/ppcme2/cmancriw.m1#sTok83673	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok84756	na	Q	salt:/ppcme2/cmancriw.m1#structure49452	na mon ne seo ham unlepped ne open heaued	IP-MAT	salt:/ppcme2/cmancriw.m1#structure49453	na mon	NP	salt:/ppcme2/cmancriw.m1#sTok84757	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmancriw.m1#sTok84775	nan	Q	salt:/ppcme2/cmancriw.m1#structure49460	ha ne cusse nan mon . ne $cuð mon ne cunes mon .	IP-MAT	salt:/ppcme2/cmancriw.m1#structure49462	nan mon . ne $cuð mon ne cunes mon	NP	salt:/ppcme2/cmancriw.m1#sTok84776	mon	N	N	M1		WMO	CMANCRIW			X	PROSE	X	WRITTEN	INSTR REL
salt:/ppcme2/cmastro.m3#sTok186	eny	Q	salt:/ppcme2/cmastro.m3#structure102	to eny mortal man in this regioun	PP	salt:/ppcme2/cmastro.m3#structure103	eny mortal man in this regioun	NP	salt:/ppcme2/cmastro.m3#sTok188	man	N	N	M3		EMO	CMASTRO			CHAUCER GEOFFREY	PROSE	X	WRITTEN	INSTR SEC
salt:/ppcme2/cmayenbi.m2#sTok72	ech	Q	salt:/ppcme2/cmayenbi.m2#structure34	to ech man / 0 þet *T*-1 wile by y-borȝe	PP	salt:/ppcme2/cmayenbi.m2#structure35	ech man / 0 þet *T*-1 wile by y-borȝe	NP	salt:/ppcme2/cmayenbi.m2#sTok73	man	N	N	M2		KL	CMAYENBI			DAN MICHEL	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmayenbi.m2#sTok176	alle	Q	salt:/ppcme2/cmayenbi.m2#structure95	*T*-1 loki ssolle alle men	IP	salt:/ppcme2/cmayenbi.m2#structure96	alle men	NP	salt:/ppcme2/cmayenbi.m2#sTok177	men	NS	NS	M2		KL	CMAYENBI			DAN MICHEL	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmayenbi.m2#sTok1502	nenne	Q	salt:/ppcme2/cmayenbi.m2#structure759	þou ne sselt / slaȝe nenne man	IP	salt:/ppcme2/cmayenbi.m2#structure761	nenne man	NP	salt:/ppcme2/cmayenbi.m2#sTok1503	man	N	N	M2		KL	CMAYENBI			DAN MICHEL	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmayenbi.m2#sTok2937	ech	Q	salt:/ppcme2/cmayenbi.m2#structure1502	*T*-1 ech man cristen / ssel yleue stedeuestliche	IP	salt:/ppcme2/cmayenbi.m2#structure1503	ech man cristen	NP	salt:/ppcme2/cmayenbi.m2#sTok2938	man	N	N	M2		KL	CMAYENBI			DAN MICHEL	PROSE	FRENCH	WRITTEN	INSTR REL
salt:/ppcme2/cmayenbi.m2#sTok4053	alle	Q	salt:/ppcme2/cmayenbi.m2#structure2091	of alle þe guode men 0 þet *T*-3 byeþ / and *T*-3 ssolle by . al to þe ende of þe wordle / and *T*-3 weren zeþþe þe $ginningge , to gidere / ine þe byleaue of Iesu crist	PP	salt:/ppcme2/cmayenbi.m2#structure2092	alle þe guode men 0 þet *T*-3 byeþ / and *T*-3 ssolle by . al to þe ende of þe wordle / and *T*-3 weren zeþþe þe $ginningge , to gidere / ine þe byleaue of Iesu crist	NP	salt:/ppcme2/cmayenbi.m2#sTok4056	men	NS	NS	M2		KL	CMAYENBI			DAN MICHEL	PROSE	FRENCH	WRITTEN	INSTR REL
